AAB,97
AAB SVENSSON,2
AABEN,5
AABERG,2
AABJÕE,9
AABLA,17
AABLOO,7
AABMETS,3
AABNA,12
AABNE,1
AABO,3
AABOJA,5
AABRAMS,20
AABRELDAAL,7
AADAM,2
AADAMSOO,32
AADAMSOO-KUUSIK,1
AADE,9
AADEL,6
AADEMETS,3
AADER,41
AADLA,36
AADLI,43
AADMA,10
AADMAN,2
AADNA,12
AADNEVIK,1
AADOMAA,5
AADU,9
AADUMÄE,14
AADUSAAR,14
AADUSOO,36
AADUSSOO,50
AADVA,10
AAGEDAL,3
AAGER,8
AAGI,2
AAGUSSAAR,8
AAGVER,12
AAJE,1
AAK,69
AAKRE,6
AAKVIK,1
AAL,114
AALAM,9
AALBERG,15
AALBOK,13
AALDE,37
AALE,6
AALEP,9
AALI,12
AALIK,12
AALISTE,33
AALISTU,3
AALJA,10
AALJA-NAPA,1
AALLIKKO,1
AALMA,2
AALMAA,33
AALMAN,2
AALMANN,14
AALOE,21
AALPERE,7
AAL-TJURIN,1
AALTO,32
AALTONEN,22
AALTONEN-FORSELL,1
AALTO-SIPILÄ,1
AALUND,9
AALUP,2
AALUP HERRICK,1
AAMAN,20
AAMANN,6
AAMDAL,2
AAMER,77
AAMISEPP,54
AAN,134
AAN JOHANSSON,1
AANENSEN,2
AANIA,1
AANJA,21
AANJA-VIIN,1
AANMAA,1
AANSTAD,1
AARAND,22
AARDAM,23
AARDE,35
AARDEMAA,10
AARDEMÄE,8
AARDEVÄLJA,15
AARDMA,10
AARDMAA,15
AARE,172
AAREANDI,1
AARELA,19
AARELAID,22
AARELEID,22
AARELO,19
AAREMAA,10
AAREMÄE,20
AAREN,30
AAREND,12
AARENS,1
AARE-PÕDER,1
AARESILD,6
AARET,1
AARI,7
AARIA,1
AARIK,32
AARIKE,9
AARING,7
AARISTE,10
AARLA,20
AARLAID,4
AARLA-KASK,1
AARMA,110
AARMA SAKS,1
AARMA STREBER,3
AARMAA,20
AARMA-KIVI,1
AARMANN,4
AARMANN-RÄÄK,1
AARMA-WILDE,1
AARN,24
AARNA,122
AARNE,7
AARNIKOIVU,1
AARNIO,2
AARNIOVUORI,1
AARNIS,11
AARNISTE,24
AARNO,1
AARONSON,1
AAROP,9
AARPUU,11
AARSALU,17
AARSALU-MIKKER,1
AARSETH,1
AARSOO,11
AART,64
AARTEE,10
AAS,885
AAS VANATUA,1
AASA,547
AASAJÄRV,15
AASAKIVI,7
AASAKÜLA,18
AASAKÜLA-PUSTÕNSKAJA,1
AASALA,31
AASALAID,15
AASALEHT,31
AASALO,3
AASALO-TISMUS,1
AASAMAA,29
AASAMETS,147
AASAMETS-AINLA,2
AASAMÄE,85
AASAMÄE-TAUTS,1
AASAMÄGI,21
AASANURM,10
AASA-REIMETS,1
AASAROHT,19
AASARU,15
AASAV,55
AASAVEE,1
AASAVELT,8
AASAVÄLI,28
AASAVÄLI-IVANOV,1
AASE,1
AASEL,3
AASEN,1
AAS-GEERTS,1
AASHAMAR,2
AASHEIM,1
AASJÕE,8
AASJÄRV,29
AAS-KESKKÜLA,1
AASKIVI,6
AASKÜLA,3
AASLA,23
AASLAID,93
AASLAV,6
AASLAV-KAASIK,13
AASLAV-TEPANDI,1
AASLEPP,16
AASLO,2
AASLOO,2
AASMA,294
AASMAA,226
AASMA-ERISALU,1
AASMANN,27
AASMETS,39
AASMÄE,291
AASMÄE-KAHAR,1
AASNA,115
AASNURM,5
AASO,29
AASOJA,48
AASOJA-ZVEREV,1
AASORG,17
AASO-ZAHRADNIKOVA,1
AASOV,7
AASPALU,25
AASPERE,35
AASPÕLD,10
AASPÕLLU,12
AASRAND,56
AASSAARE,1
AASSALU,18
AASTE,25
AAS-UDAM,1
AASUJÕE,3
AASULA,9
AASUMETS,58
AASUMÄE,7
AAS-VALLERIANI,1
AASVEE,7
AASVER,9
AASVERE,2
AASVÄLI,8
AASVÄLI-KIVISELG,1
AATELO,6
AATEMAA,1
AATOLA,3
AATONEN,21
AAU,12
AAV,164
AAVA,256
AAVAJÕE,1
AAVAKIVI,16
AAVAKOSKI,2
AAVA-LAANEMAA,1
AAVAMETS,1
AAVAMÄGI,16
AAVASAAR,1
AAVASALU,53
AAVAST,11
AAVASTE,25
AAVASTE-HANGO,1
AAVASTIK,17
AAVA-TEAS,1
AAVE,12
AAVEKUKK,26
AAVEKUKK-TAMM,1
AAVEL,14
AAVELAID,2
AAVER,52
AAVERE,13
AAVE-SOPP,1
AAVIK,714
AAVIK-MUZAKKO,1
AAVIK-POUTANEN,1
AAVIKSAAR,18
AAVIKSOO,16
AAVIK-TAASVÄLI,1
AAVIKU,22
AAVING,10
AAVINGU,1
AAVISTE,64
AAVISTE EMBALO,1
AAVISTO,25
AAVISTO-KOPLIMETS,1
AAVISTU,8
AAV-LÄÄNE,1
AAVOJA,13
AAVOLA,15
ABABKOV,4
ABABKOVA,4
ABACHINA,1
ABADIAN,2
ABAEV,1
ABAH,1
ABAIMOV,1
ABAIMOVA,1
ABAIS,5
ABAISHVILI,1
ABAKANAVITŠENE,1
ABAKANAVITŠUS,1
ABAKANOV,8
ABAKANOVA,8
ABAKELIA,1
ABAKOV,8
ABAKOVA,8
ABAKSHINA,1
ABAKŠINA,1
ABAKUMKIN,1
ABAKUMKINA,1
ABAKUMOV,9
ABAKUMOVA,8
ABAKUMOVA-SCHENDEL,1
ABALIN,2
ABALINA,1
ABALISHIN,2
ABALISHINA,1
ABALJAN,1
ABANIN,2
ABANINA,5
ABANKIN,2
ABANKINA,1
ABANTSEVA,1
ABAPOLOV,2
ABAPOLOVA,1
ABAR,2
ABARA,1
ABARBARCHUK,1
ABARBARTŠUK,3
ABARENKOV,20
ABARENKOVA,9
ABARINKOVA,1
ABARJEL,1
ABAS,2
ABASHEV,2
ABASHEVA,2
ABASHIDZE,1
ABASHINA,3
ABASHKIN,7
ABASHKINA,2
ABASSOV,2
ABASSOVA,2
ABAŠEV,11
ABAŠEVA,8
ABAŠIN,12
ABAŠINA,6
ABAŠKINA,6
ABAŠOV,2
ABAŠOVA,5
ABAZID,2
ABAŽIJEV,1
ABATINA,2
ABATUROV,1
ABATUROVA,1
ABBARA,2
ABBAS,4
ABBAS SHAH,2
ABBAS ZADEH,1
ABBASI,4
ABBASLI,1
ABBASOV,11
ABBASOVA,9
ABBASSOV,4
ABBASSOVA,1
ABBATESCIANNI,1
ABBEN,2
ABBEY,1
ABBRUZZESE,1
ABD AL-AL,4
ABD ALLAH ABAKR ABD ALLAH,1
ABD EL ALL,1
ABD EL BARY,1
ABD EL MASEH,2
ABDALLA,4
ABDALLA HERMANN,1
ABDALLA MOHAMED,4
ABDALLAH,3
ABDASHEV,2
ABDEALLH HASSAN ADAM,1
ABDEJEV,2
ABDEJEVA,1
ABDEL AZIM,1
ABDEL RIDA ABDEL SAHEB,2
ABDELBASET,1
ABDELDAYEM,1
ABDELHADY,1
ABDELHAQ,1
ABDEL-HAQ,1
ABDELHOUAEB,1
ABDELJALIL,1
ABDELKARIM,3
ABDEL-KHAK,1
ABDELLI,2
ABDELMALEK,1
ABDELMESIEH,1
ABDELRAHMAN,3
ABDELSALAM MAHMOUD OSMAN,1
ABDELSAMIA,2
ABDELZAHER,1
ABDENKO,3
ABDI NOOR,1
ABDII,1
ABDIKARIMOV,2
ABDILI,1
ABDIN,1
ABDOELJAMIL,1
ABDOLMALEKI,1
ABDOOL,1
ABDRAFIKOV,3
ABDRAFIKOVA,1
ABDRAHMANOV,3
ABDRAHMANOVA,2
ABDRAŠITOV,1
ABDUEV,3
ABDUEVA,3
ABDUHHALÕKOV,2
ABDUHHALÕKOVA,2
ABDUJEV,1
ABDUKARIMOV,3
ABDUKARIMOVA,2
ABDUKHALIK-ZADE,1
ABDUL KADER,3
ABDULAEV,1
ABDULAJEV,3
ABDULAJEVA,2
ABDULAZISOV,1
ABDUL-HADI,1
ABDULIN,3
ABDULINA,7
ABDULKAREEM,1
ABDULKHAEVA,1
ABDULKHANOV,3
ABDULKHANOVA,4
ABDULLA,1
ABDULLAEV,6
ABDULLAEVA,6
ABDULLAH,3
ABDULLAHI FARAH,1
ABDULLAIEV,1
ABDULLAJEV,21
ABDULLAJEVA,12
ABDULLAYEV,4
ABDULLAYEVA,1
ABDULLIN,1
ABDULLINA,2
ABDULMAKSOUD,3
ABDULMJANOVA,2
ABDULOVA,1
ABDUL'RAHMAN,1
ABDUL-RAHMAN,1
ABDUQODIROV,1
ABDURAHMANOV,6
ABDURAHMANOVA,3
ABDURAKHMANOV,1
ABDURAKHMANOVA,1
ABDUSALIMOV,1
ABDUSALYAMOV,1
ABDUSALYAMOVA,2
ABDUSSALJAMOV,3
ABDUSSALJAMOVA,3
ABDUVAHIDOVA,1
ABDUYEVA,1
ABDVAHITOVA,1
ABDYSHEV,1
ABE,37
ABEBE,1
ABED,1
ABEDI,5
ABEDIN,1
ABEIKOV,2
ABEIKOVA,1
ABEL,481
ABEL-BÕMBERG,1
ABELDJAJEV,4
ABELDYAEV,1
ABELE,2
ĀBELE,2
ABEL-HIIEMÄE,1
ABELIANOV,1
ABELIANOVA,2
ABELITE,2
ABELJAN,4
ABELJANOV,3
ABEL-KOCH,1
ABEL-KOZLOVA,1
ABELLA,2
ABELLO ACOSTA,1
ABELNIECE,1
ABEL-NOORHANNI,1
ABEL-OLLO,1
ABELOV,7
ABELOVA,2
ABELS,7
ABELY,1
ABEN,47
ABENA,3
ABENDROTH,1
ÅBERG,4
ABERMANN,26
ABERMANN-HIETANEN,1
ABERMET,1
ABERTHAL,5
ABERUT,30
ABESADZE,1
ABEZJAJEV,1
ABEZJAJEVA,2
ABEYKOON,1
ABEYSINGHE,1
ABGARJAN,1
ABGARYAN,1
ABI,20
ABID,3
ABIDI,2
ABIDINE,1
ABIFARIN,1
ABIH,4
ABILEID,7
ABILINE,40
ABILON,18
ABILOO,1
ABIMBOLA,1
ABIN,9
ABINA,7
ABINSKOV,1
ABINSKOVA,4
ABIRAM,10
ABIRAMM,4
ABISHEV,1
ABISOGOMJAN,5
ABISOGOMYAN,2
ABIŠEV,4
ABIŠEVA,5
ABITOV,2
ABITOVA,2
ABIYAN,1
ABJANOVA,2
ABKARJAN,1
ABLA,2
ABLAJEV,4
ABLAJEVA,3
ABLAMONOVA,2
ABLAMUNETS,2
ABLAUSHIN,2
ABLAUSHINA,1
ABLAUŠINA,1
ABLEIDINGER,1
ABLEZOVA,1
ABLIAZIZOV,1
ABLJAJEV,2
ABLJAJEVA,3
ABLOGINA,1
ABLYAEV,1
ABLYAYKINA,1
ABNA,3
ABNER,101
ABNER EKELÖF,1
ABNEY,1
ABNOSOV,3
ABNOSOVA,1
ABO,18
ABO ALY,1
ABO CHOAYRA,1
ABOCHOAYRA,1
ABODEI,1
ABOIMOV,1
ABOIMOVA,1
ABOL,5
ĀBOLA,4
ABOLFATHI,1
ABOLIN,19
ABOLINA,7
ĀBOLIŅA,3
ABOLINA-KORNÕŠEV,1
ABOLINŠ,5
ĀBOLINŠ,1
ĀBOLIŅŠ,2
ABOLINŠ-KONDRATENKO,1
ABOLISHIN,1
ABOLIŠINA,2
ABOLJANIN,3
ABOLJANINA,5
ABOLKALN,10
ABOLROUS,3
ĀBOLS,1
ABOLTÕN,14
ABOLÕMOV,2
ABOLÕMOVA,4
ABONYI,1
ABORAS,1
ABORIN,1
ABORINA,2
ABORNEV,2
ABORNEVA,4
ABOSIVIYA,1
ABOZAU,1
ABOZENKO,5
ABOZNÕI,1
ABOŽNÕI,1
ABOTSI,1
ABOU ALHAWASH,1
ABOUELKHEIR,1
ABOUGHALY,2
ABOUJAMOUS,4
ABOULELA,1
ABOU-RAAD,3
ABOUZEID,1
ABOVIYAN,1
ABOVJAN,3
ABOVYAN,1
ABRACHINE,1
ABRAEVA,1
ABRAGIMOV,4
ABRAGIMOVA,1
ABRAGIMOVITŠ,1
ABRAHAM,2
ABRAHAMS,3
ABRAHAMSE,2
ABRAHAMSSON,1
ABRAHAMYAN,3
ABRAITE,1
ABRAJEV,3
ABRAJEVA,3
ABRAM,94
ĀBRAMA,1
ABRAMAUSKAITĖ-KIVISIKK,1
ABRAMCHIK,1
ABRAMENKO,14
ABRAMENKOV,18
ABRAMENKOVA,16
ABRAMIDZE,1
ABRAMJAN,17
ABRAMKINA,1
ABRAM-NOVITSKI,1
ABRAMOV,175
ABRAMOVA,197
ABRAMOVA-FEDOSSOVA,1
ABRAMOVA-RAUD,1
ABRAMOVICH,5
ABRAMOVITŠ,10
ABRAMOVS,1
ABRAMOVSKAYA,2
ABRAMOVSKI,1
ABRAMOVSKIY,1
ABRAMS,23
ABRAMSON,25
ABRAMTSOV,1
ABRAMTSOVA,2
ABRAMTŠUK,4
ABRAMYAN,1
ABRANIN,8
ABRANINA,8
ABRANTES CABRAL,1
ABRAOUZ,1
ABRAROV,2
ABRAS,24
ABRASHIN,1
ABRASHINA,1
ABRASHKIN,1
ABRASHKINA,1
ABRASHOV,1
ABRAŠINA,3
ABRAŠOVA,1
ABRAT,2
ABRELDAAL,6
ABREU,1
ABRJUTINA,1
ABRO,20
ABROI,50
ABROSIMOV,20
ABROSIMOVA,16
ABROSKIN,1
ABROSSIMOV,18
ABROSSIMOVA,16
ABRU,2
ABRUTAITIS,2
ABRYUTIN,1
ABSALJAMOVA,2
ABSALOM,1
ABSALON,20
ABSANDZE,1
ABSEINOV,1
ABZALON,13
ABZALOV,2
ABZALOVA,2
ABZIANIDZE,2
ABŽUJEV,1
ABŽUJEVA,3
ABT,3
ABT ZIRENA,1
ABTULA,1
ABU BAKAR,1
ABU BAKR,1
ABU ŠANAB,1
ABUBAKAR,1
ABUBAKAROV,4
ABUBAKAROVA,1
ABUBAKIROV,3
ABUBAKIROVA,5
ABUBIKIROV,4
ABUBIKIROVA,4
ABUBOV,3
ABUBOVA,1
ABUCHEV,2
ABUCHEVA,1
ABUDAQA,1
ABUELNAGA,2
ABUHUSSAIEN,1
ABUJAMUS,1
ABUKAROV,3
ABUKAROVA,6
ABUKOVA,1
ABULADZE,11
ABULHAIIROV,1
ABULHAIIROVA,1
ABULKHAYIROV,1
ABULOV,2
ABULOVA,4
ABURAFASS,1
ABUSEADA,2
ABUSELIDZE,2
ABUSHKEVICH,15
ABUŠAJEVA,1
ABU-ŠANAB,1
ABUZAROVA,1
ABUZOV,3
ABUZOVA,4
ABUTALIPOV,1
ABUTALÕBOV,1
ABUTALÕBOVA,1
ABUTŠEV,2
ABUTŠEVA,1
ABÕZOV,7
ABÕZOVA,2
ABÄCHERLI,1
ABYZOV,3
ABYZOVA,3
ACAMPORA,4
ACCARDO,2
ACCORSI,1
ACCORSO,1
ACETI,1
ACEVEDO,1
ACHAPOVSKAYA,1
ACHBAŠ,2
ACHILOVA,1
ACHIM,1
ACHKASOV,2
ACHKASOVA,6
ACHONU,4
ACHOURPOUR,3
ACIEN BALAGUER,1
ACIK,2
AÇIK,2
ACIR,1
ACKALIN,2
ACKERMAN,1
ACKERMANN,1
ACKLAND,1
ACKMAN,1
ACKMANN,1
ACOCA,1
ACOSTA SOTO,1
ACRA,1
ACRA-KRUUS,1
ACUNA,1
ACUNA ÜLEJÕE,1
ACWORTH,1
ADAB AVAZEH,1
ADADUROV,3
ADADUROVA,1
ADAEVSKAYA,1
ADAGBON,1
ADAIKIN,5
ADAIKINA,6
ADAJATULLIN,2
ADALGALIEV,1
ADALGALIJEV,1
ADALGALIJEVA,1
ADALOV,3
ADALOVA,2
ADAM,15
ADAM ABDALLA ISHAG,1
ADAM ADAM MOHAMED NOUR,1
ADAM SOULIMAN ARBAB,1
ADAMA,16
ADAMAS,4
ADAMASHVILI,1
ADAMAŠVILI,1
ADAMBERG,70
ADAMCHUK,4
ADAMCOVA,1
ADAMCZYK,1
ADAME,3
ADAME DIAZ,1
ADAMEIKO,2
ADAMEK,1
ADAMENKO,15
ADAMENKOV,6
ADAMENKOVA,6
ADAMETS,1
ADAMFELDT,3
ADAMI,19
ADAMIK,1
ADAMIV,4
ADAMJAN,5
ADAMKA,23
ADAMKO,1
ADÁMKOVÁ,1
ADAMO,1
ADAMONIENE,4
ADAMONIENĖ,1
ADAMONIS,7
ADAMONITE,1
ADAMONYTĖ,2
ADAMOV,17
ADAMOVA,20
ADAMOVICH,7
ADAMOVITCH,2
ADAMOVITŠ,20
ADAMOVSKAJA,1
ADAMOVSKI,2
ADAMS,141
ADAMSKAJA,5
ADAMSKI,9
ADAMSON,795
ADAMSON LILLEP,2
ADAMSON MUISTLA,1
ADAMSON-EHTE,1
ADAMSON-MANDER,1
ADAMSON-NIIDUMAA,1
ADAMSON-NOTTON,1
ADAMSON-RÜÜTEL,1
ADAMSONS,7
ĀDAMSONS,2
ADAMSON-SÄRGAVA,1
ADAMSON-VEROCK,1
ADAMSOO,14
ADAMSOON,4
ADAMTAU,2
ADAMTSEVITŠ,1
ADAMTŠIK,4
ADAMTŠUK,8
ADAMTÕUG,1
ADAMTÕUG LÜTHI,1
ADAMUS-KÖRKKÖ,1
ADANG,2
ADANKIN,2
ADANKINA,1
ADAR,1
ADARI,24
ADARITŠEV,3
ADARITŠEVA,1
ADAROV,1
ADARÕTŠEV,2
ADARÕTŠEVA,4
ADARYCHEVA,1
